,toCode,fromCode,dis,areaX,areaY,Country_income,Low_Income,predicted
345,41,34,622,139427,167000,9966.07,141.9,0.037
346,42,34,457,139427,187400,10849.06,137.2,0.099
347,43,34,771,139427,211829,10060.17,145.1,0.036
348,44,34,1268,139427,184800,12245.56,40,0.014
349,45,34,1626,139427,236700,7793.08,57.3,0.011
350,46,34,1868,139427,34000,9912.57,17.1,0.016
351,50,34,1449,139427,82400,9489.82,56.9,0.013
352,51,34,1860,139427,488000,9347.74,189.3,0.017
353,52,34,1688,139427,170000,6671.22,54.3,0.004
354,53,34,2245,139427,394000,7456.13,93.1,0.005
355,54,34,3836,139427,1220000,6553.38,4.3,0.001
356,61,34,1104,139427,205800,7932.21,84.6,0.017
357,62,34,1685,139427,454430,6276.59,88.1,0.01
358,63,34,1920,139427,721000,7282.73,23.5,0.004
359,64,34,1771,139427,66400,7598.67,20.8,0.013
360,65,34,3609,139427,1664897,7846.59,96,0.004
361,11,35,1981,120000,16411,18867.3,11.7,0.018
362,12,35,1891,120000,11920,17014.18,18,0.013
363,13,35,1859,120000,190000,10186.14,88.1,0.019
364,14,35,1882,120000,156000,8809.44,91.7,0.016
365,15,35,2401,120000,1183000,8984.92,84.8,0.009
366,21,35,2533,120000,148000,11191.49,118.6,0.01
367,22,35,2831,120000,187000,10780.12,115.6,0.008
368,23,35,3083,120000,469000,10453.2,155.6,0.008
369,31,35,836,120000,6219,21191.64,32.4,0.038
370,32,35,966,120000,102658,14958.44,40.9,0.029
371,33,35,688,120000,104141,19373.28,8.8,0.03
372,34,35,999,120000,139427,9916.42,84.2,0.019
373,36,35,582,120000,166900,10116.58,98.1,0.043
374,37,35,1580,120000,157126,11882.26,60.6,0.011
375,41,35,1452,120000,167000,9966.07,141.9,0.009
376,42,35,924,120000,187400,10849.06,137.2,0.017
377,43,35,967,120000,211829,10060.17,145.1,0.018
378,44,35,901,120000,184800,12245.56,40,0.021
379,45,35,1615,120000,236700,7793.08,57.3,0.01
380,46,35,1497,120000,34000,9912.57,17.1,0.012
381,50,35,1962,120000,82400,9489.82,56.9,0.022
382,51,35,2341,120000,488000,9347.74,189.3,0.016
383,52,35,1756,120000,170000,6671.22,54.3,0.005
384,53,35,2478,120000,394000,7456.13,93.1,0.004
385,54,35,4447,120000,1220000,6553.38,4.3,0.001
386,61,35,1699,120000,205800,7932.21,84.6,0.013
387,62,35,2332,120000,454430,6276.59,88.1,0.004
388,63,35,2566,120000,721000,7282.73,23.5,0.002
389,64,35,2418,120000,66400,7598.67,20.8,0.006
390,65,35,4255,120000,1664897,7846.59,96,0.004
391,11,36,1458,166900,16411,18867.3,11.7,0.02
392,12,36,1406,166900,11920,17014.18,18,0.014
393,13,36,1278,166900,190000,10186.14,88.1,0.019
394,14,36,1389,166900,156000,8809.44,91.7,0.016
395,15,36,1906,166900,1183000,8984.92,84.8,0.022
396,21,36,2045,166900,148000,11191.49,118.6,0.028
397,22,36,2341,166900,187000,10780.12,115.6,0.022
398,23,36,2591,166900,469000,10453.2,155.6,0.012
399,31,36,775,166900,6219,21191.64,32.4,0.046
400,32,36,632,166900,102658,14958.44,40.9,0.051
401,33,36,562,166900,104141,19373.28,8.8,0.132
402,34,36,509,166900,139427,9916.42,84.2,0.086
403,35,36,582,166900,120000,12650.19,18.1,0.11
404,37,36,1095,166900,157126,11882.26,60.6,0.02
405,41,36,961,166900,167000,9966.07,141.9,0.023
406,42,36,434,166900,187400,10849.06,137.2,0.081
407,43,36,453,166900,211829,10060.17,145.1,0.085
408,44,36,835,166900,184800,12245.56,40,0.041
409,45,36,1185,166900,236700,7793.08,57.3,0.019
410,46,36,1426,166900,34000,9912.57,17.1,0.011
411,50,36,1400,166900,82400,9489.82,56.9,0.012
412,51,36,1844,166900,488000,9347.74,189.3,0.021
413,52,36,1242,166900,170000,6671.22,54.3,0.003
414,53,36,1822,166900,394000,7456.13,93.1,0.009
415,54,36,3885,166900,1220000,6553.38,4.3,0.001
416,61,36,1205,166900,205800,7932.21,84.6,0.022
417,62,36,1835,166900,454430,6276.59,88.1,0.006
418,63,36,2068,166900,721000,7282.73,23.5,0.005
419,64,36,1921,166900,66400,7598.67,20.8,0.01
420,65,36,3647,166900,1664897,7846.59,96,0.005
421,11,37,421,157126,16411,18867.3,11.7,0.102
422,12,37,332,157126,11920,17014.18,18,0.112
423,13,37,300,157126,190000,10186.14,88.1,0.073
424,14,37,509,157126,156000,8809.44,91.7,0.061
425,15,37,902,157126,1183000,8984.92,84.8,0.018
426,21,37,978,157126,148000,11191.49,118.6,0.021
427,22,37,1272,157126,187000,10780.12,115.6,0.011
428,23,37,1524,157126,469000,10453.2,155.6,0.008
429,31,37,839,157126,6219,21191.64,32.4,0.027
430,32,37,663,157126,102658,14958.44,40.9,0.043
431,33,37,929,157126,104141,19373.28,8.8,0.023
432,34,37,660,157126,139427,9916.42,84.2,0.032
433,35,37,1580,157126,120000,12650.19,18.1,0.011
434,36,37,1095,157126,166900,10116.58,98.1,0.013
435,41,37,495,157126,167000,9966.07,141.9,0.071
436,42,37,919,157126,187400,10849.06,137.2,0.017
437,43,37,1209,157126,211829,10060.17,145.1,0.018
438,44,37,1887,157126,184800,12245.56,40,0.016
439,45,37,2122,157126,236700,7793.08,57.3,0.009
440,46,37,2480,157126,34000,9912.57,17.1,0.006
441,50,37,1799,157126,82400,9489.82,56.9,0.014
442,51,37,1751,157126,488000,9347.74,189.3,0.018
443,52,37,1934,157126,170000,6671.22,54.3,0.002
444,53,37,2514,157126,394000,7456.13,93.1,0.002
445,54,37,3726,157126,1220000,6553.38,4.3,0.001
446,61,37,951,157126,205800,7932.21,84.6,0.016
447,62,37,1612,157126,454430,6276.59,88.1,0.009
448,63,37,1810,157126,721000,7282.73,23.5,0.004
449,64,37,1238,157126,66400,7598.67,20.8,0.012
450,65,37,3316,157126,1664897,7846.59,96,0.003
451,11,41,695,167000,16411,18867.3,11.7,0.062
452,12,41,711,167000,11920,17014.18,18,0.06
453,13,41,418,167000,190000,10186.14,88.1,0.075
