q101b1,q101c1,q101e1,q101f1,q203,q207
1,198509,1,7,9,1500
2,198411,4,2,7,1800
2,197801,1,3,6,1800
1,199606,1,3,7,2000
2,198502,3,4,6,2000
1,199311,1,5,15,1200
1,198910,3,3,8,2200
2,197303,1,2,15,2600
1,199008,1,3,7,2000
1,198303,2,6,15,3600
2,197410,1,3,1,1800
1,198604,1,4,6,2200
2,197811,1,3,7,2000
1,197702,1,3,10,6800
1,198511,1,3,15,2600
2,198303,1,5,7,2500
2,196708,1,3,7,2200
2,196505,1,3,6,2700
2,197203,1,3,-1,-1
1,198212,1,4,4,50000
2,198004,1,4,-1,-1
1,198309,1,7,9,4000
2,198601,1,3,-1,-1
2,197308,1,4,12,8000
1,198110,1,4,9,4000
2,197501,1,6,6,10000
1,197301,1,3,6,3000
2,197302,1,3,8,5000
2,198405,1,6,1,2000
2,197711,1,3,-1,-1
1,197711,1,5,12,5000
2,197407,1,4,-1,-1
1,198202,1,3,6,8000
2,197807,1,7,15,5600
2,197606,1,6,-1,-1
2,198204,1,3,-1,-1
1,197312,1,3,10,4000
2,197806,1,3,-1,-1
2,198604,1,3,7,2100
1,198809,1,3,7,3000
1,197303,1,3,4,3000
1,199007,1,3,7,3000
1,196806,1,3,4,4500
1,197407,1,3,-1,-1
1,196801,1,3,8,5000
2,198410,1,3,15,1800
2,196610,1,2,-1,-1
2,196808,1,2,7,4800
1,197002,1,3,4,5000
2,196812,1,3,-1,-1
1,196409,1,3,4,2000
2,197410,1,3,8,1500
1,197405,1,3,8,1500
2,197212,1,3,8,1800
2,198803,1,3,8,1300
1,199206,1,3,7,1500
1,197107,1,3,8,2500
2,196611,1,3,7,2300
2,195411,1,4,-1,-1
2,195603,1,6,-1,-1
2,195710,1,7,-1,-1
2,196701,1,4,-1,-1
2,197309,1,3,8,1200
1,198909,1,4,8,1900
2,195607,1,4,-1,-1
2,196104,1,6,-1,-1
1,198506,1,7,13,5000
2,196305,1,4,-1,-1
1,198410,1,7,9,6000
2,195901,1,3,-1,-1
2,197705,1,7,6,3500
2,195306,1,4,-1,-1
1,199102,1,5,8,2000
1,196512,1,3,8,1500
1,199102,1,4,8,1800
1,198406,1,4,8,2000
2,195912,1,3,-1,-1
2,195801,1,4,-1,-1
2,197905,3,3,6,2800
2,198011,1,7,15,5000
2,198205,1,7,15,4000
2,198203,1,6,12,1500
2,198111,14,5,-1,-1
2,198408,1,6,-1,-1
