q101b1,q101c1,q101e1,q101f1,q101g1,q101h1,q101i1,q101m1,q203,q206,q207,q211,q212,q213,q301
2,197804,1,8,2,2,1,1,9,1,5000,7,1,1,200508
2,197809,1,7,2,2,1,1,13,1,8000,7,1,1,200706
2,196004,1,6,2,2,7,1,-1,-1,-1,7,1,1,198604
2,197102,1,2,1,2,5,1,-1,-1,-1,2,2,-1,199205
2,198010,1,5,1,1,1,1,7,1,5600,2,1,1,-1
1,199109,1,3,1,1,1,1,7,1,2800,1,2,-1,-1
2,199111,1,7,1,1,1,1,9,1,3500,1,1,1,-1
1,199301,1,3,1,1,1,1,7,1,2800,4,2,-1,-1
1,198402,1,3,2,1,1,1,7,1,3000,4,2,-1,-1
2,198401,1,3,1,2,1,1,6,2,12000,2,2,-1,200612
1,198701,1,3,1,1,1,1,6,1,3000,4,2,-1,-1
2,197809,1,3,1,2,1,1,6,2,13000,2,2,-1,200207
2,198312,1,4,2,2,1,1,6,1,4000,1,2,-1,201006
1,198604,1,7,2,1,1,1,13,1,3800,2,1,1,-1
2,197402,1,3,2,1,1,1,8,1,6000,1,2,-1,-1
2,199008,1,4,1,1,1,1,7,1,3200,4,2,-1,-1
2,198511,1,6,1,2,1,1,6,2,8000,2,2,-1,201102
2,198612,1,3,1,2,1,1,6,1,3200,4,2,-1,-9
2,197402,1,7,2,2,1,1,15,2,11000,7,1,1,200007
2,197107,1,4,1,2,5,1,-1,-1,-1,2,2,-1,199307
2,197604,1,4,2,2,1,1,6,2,5600,2,2,-1,199907
2,197109,1,3,1,2,1,1,6,2,20000,2,2,-1,199406
2,197401,1,6,1,2,1,1,6,2,8000,2,2,-1,199801
2,199005,1,4,1,1,1,2,7,1,2000,6,2,-1,-1
2,197209,1,4,2,2,1,1,8,3,3000,6,2,-1,199508
1,195708,1,2,1,2,1,2,8,1,640,4,1,3,198010
2,197701,1,4,2,2,1,2,6,3,3000,2,2,-1,199901
2,197906,6,4,1,2,1,1,7,2,1800,2,2,-1,200601
2,197907,1,3,1,2,1,1,7,3,2000,2,2,-1,199901
2,196708,1,3,1,2,1,1,6,3,4000,2,2,-1,199012
1,197706,1,2,1,2,1,1,6,3,5000,2,2,-1,199902
2,198612,1,4,1,2,1,1,15,3,1800,6,2,-1,200811
2,197202,1,2,1,2,1,1,8,1,1600,1,1,1,199802
2,198407,1,3,1,2,4,1,-1,-1,-1,2,2,-1,200512
2,197106,1,3,1,2,1,1,6,3,3000,2,1,1,199211
2,197104,1,3,1,2,1,1,6,3,4000,2,2,-1,199209
2,197406,1,5,1,2,1,1,15,2,3000,2,2,-1,199512
2,197802,1,3,1,2,1,1,6,3,3000,6,2,-1,200402
1,196503,1,1,1,2,1,1,8,1,1640,1,1,2,198605
2,197202,1,3,1,2,1,1,1,1,3000,2,1,2,199209
1,197212,1,3,1,2,1,1,7,2,3000,2,2,-1,199201
1,198001,1,3,1,2,1,1,8,3,3500,6,2,-1,200501
2,196911,1,3,1,2,1,1,1,3,3000,6,2,-1,199701
2,198410,1,7,2,2,1,1,13,1,1600,1,1,2,201008
1,198303,1,4,2,1,1,1,13,1,500,1,1,2,-1
1,198910,1,5,1,1,1,1,13,1,2200,1,1,2,-1
1,199010,4,4,1,2,1,1,13,1,1300,1,1,3,201205
1,198201,1,4,1,2,1,1,13,1,1800,1,1,3,200503
1,197005,1,4,1,2,1,1,13,1,1700,1,1,2,199912
2,197909,1,3,1,2,1,1,13,1,1260,1,1,1,200401
2,198708,1,3,2,2,1,1,13,1,1500,1,1,2,201202
1,196304,1,6,1,5,1,1,13,1,2200,1,1,2,198601
2,196601,1,3,1,2,1,1,8,1,1200,1,1,3,199010
1,198803,1,4,2,1,1,1,13,1,1200,4,1,2,-1
1,198902,1,3,1,1,1,1,13,2,1500,1,1,3,-1
2,196705,1,3,1,2,1,1,13,1,1400,1,1,1,199402
2,196606,1,3,1,3,1,1,8,1,1200,1,1,3,199303
2,196306,1,3,1,2,5,1,-1,-1,-1,1,2,-1,198103
1,196008,1,2,1,1,1,1,8,1,1260,1,1,3,-1
2,197308,1,3,1,2,5,1,-1,-1,-1,1,2,-1,199512
1,196708,1,2,1,1,1,1,8,1,1200,1,1,3,-1
2,198607,1,3,1,2,5,1,-1,-1,-1,1,2,-1,200802
2,198212,1,3,1,2,1,1,8,1,1260,1,1,3,200902
2,198809,1,6,1,2,1,1,7,1,3000,4,1,1,201112
1,199212,1,3,1,1,1,2,7,1,1700,4,1,1,-1
1,199502,1,4,1,1,1,2,7,1,2000,4,1,1,-1
1,198806,1,5,1,1,1,1,7,1,2000,4,1,3,-1
1,199512,1,3,1,1,1,1,7,1,1500,4,2,-1,-1
1,198406,1,7,2,1,1,1,7,1,5000,4,1,1,-1
1,199501,1,3,1,1,1,2,7,1,1300,4,1,1,-1
1,198510,1,7,1,1,1,3,7,1,2200,4,1,1,-1
1,199302,1,3,1,1,1,1,7,1,1750,4,2,-1,-1
2,198604,1,6,2,1,1,2,7,1,3000,4,1,1,-1
2,198706,1,6,1,2,1,2,7,1,2000,4,1,1,201105
2,198404,1,4,1,2,1,2,7,1,4000,4,1,3,201201
2,196411,1,3,1,2,1,1,7,1,2200,4,1,1,198712
2,198407,1,5,2,2,1,1,7,1,2200,4,1,1,200910
1,198708,1,3,1,1,1,2,7,1,1950,1,1,1,-1
1,198912,1,4,1,1,1,1,7,1,2200,4,2,-1,-1
2,198702,1,5,2,2,1,1,7,1,2000,1,1,1,200903
2,198710,1,5,1,2,1,1,7,1,1950,4,1,1,201008
2,198811,1,6,1,2,1,1,7,1,1950,4,1,2,201008
1,198607,1,4,2,1,1,1,9,1,3000,2,2,-1,-1
2,198405,1,3,1,1,1,1,7,1,2500,2,2,-1,-1
2,196909,1,3,1,2,1,1,8,1,1200,2,2,-1,199010
2,196507,1,3,1,2,1,1,8,1,1200,2,2,-1,199110
2,197905,1,4,1,2,5,1,-1,-1,-1,2,2,-1,200210
2,198204,1,3,1,1,1,1,7,1,1500,2,2,-1,-1
2,197309,1,3,1,2,1,1,7,1,2000,2,2,-1,199510
2,198603,1,3,1,1,1,1,6,1,1800,2,1,1,-1
2,199012,1,3,2,1,1,1,7,1,1500,4,2,-1,-1
2,197110,1,3,1,2,1,1,6,1,1800,2,2,-1,199205
2,196808,1,4,1,2,1,1,8,1,1200,2,2,-1,199211
2,199103,1,6,1,1,1,1,11,1,2200,2,1,1,-1
2,198911,1,3,1,1,1,1,6,1,2500,2,2,-1,-1
2,196908,1,3,1,2,1,1,8,1,1800,2,2,-1,199007
1,198605,1,5,2,1,1,1,7,1,2000,2,2,-1,-1
2,198707,1,4,1,1,1,1,7,1,2000,2,2,-1,-1
2,197512,1,3,1,2,1,1,6,1,1900,2,2,-1,199710
2,196406,1,3,2,2,1,1,8,1,1500,2,2,-1,198905
2,196408,1,4,1,2,1,1,7,3,5000,6,2,-1,198510
2,199011,1,4,1,1,1,1,7,1,1800,2,2,-1,-1
2,198308,1,3,1,2,5,1,-1,-1,-1,2,2,-1,200807
2,197108,1,3,1,2,1,1,4,1,6000,2,2,-1,199702
2,198304,1,7,2,2,5,1,-1,-1,-1,2,2,-1,200903
2,197503,1,3,1,2,5,1,-1,-1,-1,2,2,-1,199805
2,198212,1,7,2,2,5,1,-1,-1,-1,2,1,2,200901
1,198710,1,3,1,2,1,1,7,2,6000,2,2,-1,201002
1,198207,1,4,1,2,1,1,8,1,4500,2,2,-1,201003
1,198110,1,7,2,2,1,1,13,1,8000,2,1,2,200712
1,198307,1,3,1,2,1,1,9,1,4500,2,1,2,200703
1,198210,1,7,1,2,1,1,7,3,3000,2,2,-1,200901
1,198410,1,3,1,2,1,2,8,1,3000,2,2,-1,201203
1,198805,1,3,2,2,1,1,7,3,5000,2,2,-1,201010
1,198112,1,7,1,2,1,1,8,1,6000,2,2,-1,201012
2,198808,1,3,1,2,5,1,-1,-1,-1,2,2,-1,201105
2,198207,1,4,1,2,1,1,6,1,2600,2,1,2,201001
2,198512,1,3,1,2,1,1,6,3,3000,2,2,-1,200805
2,198911,1,3,1,2,4,1,-1,-1,-1,2,2,-1,201009
2,197802,1,3,1,2,5,1,-1,-1,-1,2,2,-1,200301
2,197710,1,4,1,2,1,1,6,2,5000,2,2,-1,200005
2,198702,1,3,1,2,4,1,-1,-1,-1,2,2,-1,200912
2,197901,1,6,1,2,1,1,6,1,10000,7,1,3,200605
2,198311,1,7,2,2,1,1,11,1,3000,1,1,2,200911
1,196707,1,3,1,2,1,1,7,1,5000,1,1,3,198512
1,199105,4,5,1,1,1,1,6,1,1800,2,2,-1,-1
1,199009,1,5,1,1,1,1,7,1,1500,4,1,1,-1
2,199111,1,5,1,2,1,1,7,1,2000,2,2,-1,200812
2,199107,1,5,1,1,1,1,6,3,1800,2,3,-1,-1
1,198011,1,5,2,2,1,1,13,3,2000,2,2,-1,200501
2,198111,1,4,2,2,1,1,6,3,3000,2,2,-1,200502
1,199005,1,5,1,1,1,1,6,1,1500,2,2,-1,-1
2,199202,10,5,1,1,1,1,6,1,1500,2,2,-1,-1
1,198912,1,7,2,1,1,1,6,3,2000,2,2,-1,-1
2,198405,1,5,2,2,1,1,6,3,1000,2,2,-1,200912
2,198108,1,7,2,2,1,1,15,1,6000,7,1,3,201003
1,198506,1,4,1,1,1,1,6,1,2000,2,2,-1,-1
1,196510,1,2,1,2,1,1,15,3,1600,2,2,-1,198909
1,198007,1,5,1,2,1,1,6,3,1800,2,2,-1,200805
2,198409,1,4,1,2,1,1,6,1,2000,1,2,-1,200902
2,198203,1,7,2,1,1,1,11,1,5000,1,1,1,-1
2,198312,1,8,2,1,1,1,11,1,5000,1,2,-1,-1
2,198408,1,5,1,2,4,1,-1,-1,-1,2,2,-1,201007
2,198610,1,4,1,2,1,2,6,4,10000,2,2,-1,201202
2,197811,1,3,1,2,1,1,6,3,2500,2,2,-1,200401
2,197501,3,3,1,2,1,2,6,3,3000,6,2,-1,199903
2,197206,1,2,1,2,1,2,6,3,1500,6,2,-1,198904
2,198806,1,4,1,2,1,1,6,3,2000,6,2,-1,201012
1,199304,1,6,1,1,1,1,6,1,2500,2,1,3,-1
2,198505,1,6,1,1,1,2,9,1,3000,2,1,1,-1
2,199006,1,4,1,1,1,1,6,1,5000,6,1,3,-1
2,198909,1,5,1,1,1,1,10,1,3000,2,1,3,-1
